Id;label;wikidata;date of birth;date of death;place of birth;place of death;occupation;educated at;gender;wikipedia;type
p_3009;Stott, Edward;Q21464740;01.01.1859;19.03.1918;Rochdale;Amberley;"painter;landscape painter";Beaux-Arts de Paris;male;https://en.wikipedia.org/wiki/Edward_Stott;person
p_248;Abel, Franz;;;;;;;;male;;person
p_249;Abel, Lothar;Q16937561;15.02.1841;24.06.1896;Hietzing;Vienna;"architect;university teacher";;male;https://de.wikipedia.org/wiki/Lothar_Abel;person
p_250;Abramowicz, Bronis?aw;Q4973911;01.01.1837;17.07.1912;Zalukhiv;Kraków;painter;"School of Fine Arts in Warsaw;Academy of Fine Arts, Warsaw;Academy of Fine Arts, Munich;Jan Matejko Academy of Fine Arts in Krakow";male;https://en.wikipedia.org/wiki/Bronis%C5%82aw_Abramowicz;person
p_251;Abril y Blaasco, Salvador;Q24042631;22.10.1862;23.08.1924;Valencia;Valencia;"painter;ceramicist";Real Academia de Bellas Artes de San Carlos de Valencia;male;https://es.wikipedia.org/wiki/Salvador_Abril;person
p_252;Abry, Léon;Q2196401;06.03.1857;06.11.1905;Antwerp;Antwerp;painter;Royal Academy of Fine Arts;male;https://en.wikipedia.org/wiki/L%C3%A9on_Abry;person
p_253;Absolon, Marie;;;;;;;;female;;person
p_254;Achenbach, Andreas;Q76416;29.09.1815;01.04.1910;Kassel;Düsseldorf;"painter;printmaker;drawer;illustrator";"Imperial Academy of Arts;Kunstakademie Düsseldorf";male;https://en.wikipedia.org/wiki/Andreas_Achenbach;person
p_255;Achenbach, Oswald;Q76415;02.02.1827;01.02.1905;Düsseldorf;Düsseldorf;"painter;university teacher";Kunstakademie Düsseldorf;male;https://en.wikipedia.org/wiki/Oswald_Achenbach;person
p_256;Achini, Angiolo;Q3616857;06.03.1850;16.01.1930;Milan;Milan;painter;Brera Academy;male;https://en.wikipedia.org/wiki/Angiolo_Achini;person
p_257;Adam;;;;;;;;unknown;;person
p_258;Adam, Benno;Q564471;15.07.1812;09.03.1892;Munich;Kelheim;painter;;male;https://en.wikipedia.org/wiki/Benno_Adam;person
p_259;Adam, Emil;Q282176;20.05.1843;19.01.1924;Munich;Munich;"painter;lithographer";;male;https://en.wikipedia.org/wiki/Emil_Adam;person
p_260;Adam, Eugen;Q455121;22.01.1817;04.06.1880;Munich;Munich;painter;;male;https://en.wikipedia.org/wiki/Eugen_Adam;person
p_261;Adam, Franz;Q523889;04.05.1815;30.09.1886;Milan;Munich;"painter;lithographer";;male;https://en.wikipedia.org/wiki/Franz_Adam;person
p_262;Adam, Heinrich;Q1461252;18.03.1839;29.01.1905;Dierbach;Vienna;architect;;male;https://de.wikipedia.org/wiki/Heinrich_Adam_(Architekt);person
p_263;Adam, Julius;Q870955;18.05.1852;23.09.1913;Munich;Munich;"painter;lithographer;photographer";;male;https://en.wikipedia.org/wiki/Julius_Adam;person
p_264;Adamo, Max;Q1310495;03.11.1837;31.12.1901;Munich;Munich;painter;;male;https://de.wikipedia.org/wiki/Max_Adamo;person
p_265;Aggházy, Julius;Q516321;20.03.1850;23.05.1919;Dombóvár;Budapest;"painter;university teacher";;male;https://en.wikipedia.org/wiki/Gyula_Aggh%C3%A1zy;person
p_266;Aigner, Josef Matthias;Q874595;18.01.1818;19.02.1886;Vienna;Vienna;painter;;male;https://en.wikipedia.org/wiki/Joseph_Matth%C3%A4us_Aigner;person
p_267;Ajdukiewicz, Sally;;;;;;;;female;;person
p_268;Ajdukiewicz, Siegmund;Q245311;22.01.1861;29.04.1917;Tarnobrzeg;Vienna;painter;"Academy of Fine Arts, Munich;Academy of Fine Arts Vienna;Jan Matejko Academy of Fine Arts in Krakow";male;https://en.wikipedia.org/wiki/Zygmunt_Ajdukiewicz;person
p_269;Ajdukiewicz, Thaddäus von;Q981439;01.01.1852;09.01.1916;Wieliczka;Kraków;painter;Jan Matejko Academy of Fine Arts in Krakow;male;https://en.wikipedia.org/wiki/Tadeusz_Ajdukiewicz;person
p_270;Alberti, Achille;Q3604327;01.01.1860;15.07.1943;Milan;Lentate sul Seveso;"artist;sculptor";Brera Academy;male;https://en.wikipedia.org/wiki/Achille_Alberti;person
p_271;Albrecht, Carl;Q17505966;02.04.1862;26.09.1926;Hamburg;Königsberg;painter;;male;https://de.wikipedia.org/wiki/Carl_Albrecht_(Maler);person
p_272;Alby, J.;;;;;;;;unknown;;person
p_273;Alexandra, Prinzessin von Wales;Q152260;01.12.1844;20.11.1925;Yellow Palace;Sandringham House;"photographer;aristocrat";;female;https://en.wikipedia.org/wiki/Alexandra_of_Denmark;person
p_274;Allingham, Helen;Q444581;26.09.1848;28.09.1926;Derbyshire;Haslemere;"painter;illustrator";"Royal College of Art;Birmingham School of Art";unknown;https://en.wikipedia.org/wiki/Helen_Allingham;person
p_275;Alma, Tadema Laura T.;Q459611;16.04.1852;15.08.1909;London;London;painter;;female;https://en.wikipedia.org/wiki/Laura_Theresa_Alma-Tadema;person
p_276;Alphons, Theodor;Q41307192;28.10.1860;02.09.1897;Kraków;Graz;"painter;etcher;art educator";Academy of Fine Arts Vienna;male;;person
p_277;Alt, Franz;Q5492676;16.08.1821;13.02.1914;Vienna;Vienna;painter;;male;https://en.wikipedia.org/wiki/Franz_Alt_(painter);person
p_278;Alt, Rudolf Ritter von;Q638183;28.08.1812;12.03.1905;Vienna;Vienna;painter;Academy of Fine Arts Vienna;male;https://en.wikipedia.org/wiki/Rudolf_von_Alt;person
p_279;Altmann, Anton;Q87659;04.06.1808;09.07.1871;Vienna;Vienna;"painter;landscape painter";Academy of Fine Arts Vienna;male;https://en.wikipedia.org/wiki/Anton_Altmann;person
p_280;Am Ende, Hans;Q561091;31.12.1864;09.07.1918;Trier;Szczecin;"painter;sculptor;graphic artist";Academy of Fine Arts, Munich;male;https://en.wikipedia.org/wiki/Hans_am_Ende;person
p_281;Aman-Jean, Edmond;Q576570;13.11.1858;25.01.1936;Chevry-Cossigny;Paris;"painter;printmaker;etcher;graphic artist;lithographer;critic;art critic";Beaux-Arts de Paris;male;https://en.wikipedia.org/wiki/Edmond_Aman-Jean;person
p_282;Amberg, Wilhelm;Q317963;25.02.1822;08.09.1899;Berlin;Berlin;"painter;artist";;male;https://en.wikipedia.org/wiki/Wilhelm_Amberg;person
p_283;Amberger, Gustav Adolf;Q85092096;28.05.1831;26.02.1896;Solingen;;artist;;male;https://de.wikipedia.org/wiki/Gustav_Adolf_Amberger;person
