Id;Source;Target;person_id;exhibitor;exhibition_id;exhibition;year;name_from_catalogue;place_name
0;p_3009;e_27;3009;Stott, Edward;27;Jubiläums-Kunstausstellung 1898 (Künstlerhaus);1898;Stott, Edward;Amberley
1;p_248;e_24;248;Abel, Franz;24;23. Jahresausstellung (Künstlerhaus);1895;Abel, Franz;Vienna
2;p_248;e_25;248;Abel, Franz;25;24. Jahresausstellung (Künstlerhaus);1896;Abel, Franz;Vienna
3;p_249;e_1;249;Abel, Lothar;1;1. Große Internationale Kunstausstellung (Künstlerhaus);1869;Abel, Lothar;Vienna
4;p_249;e_7;249;Abel, Lothar;7;7. Große Jahresausstellung (Künstlerhaus);1876;Abel, Lothar;Vienna
5;p_249;e_8;249;Abel, Lothar;8;8. Große Jahresausstellung (Künstlerhaus);1877;Abel, Lothar;Vienna
6;p_250;e_3;250;Abramowicz, Bronis?aw;3;3. Große Internationale Kunstausstellung (Künstlerhaus);1871;Abramowicz, Bronis?aw;no value
7;p_250;e_4;250;Abramowicz, Bronis?aw;4;4. Große Jahresausstellung (Künstlerhaus);1872;Abramowicz, Bronis?aw;Vienna
8;p_251;e_18;251;Abril y Blaasco, Salvador;18;Jubiläums-Kunstausstellung 1888 (Künstlerhaus);1888;Abril y Blaasco, Salvador;no value
9;p_252;e_13;252;Abry, Léon;13;13. Jahresausstellung (Künstlerhaus);1883;Abry, Léon;Antwerp
10;p_252;e_18;252;Abry, Léon;18;Jubiläums-Kunstausstellung 1888 (Künstlerhaus);1888;Abry, Léon;Antwerp
11;p_252;e_21;252;Abry, Léon;21;20. Jahresausstellung (Künstlerhaus);1891;Abry, Léon;Antwerp
12;p_252;e_24;252;Abry, Léon;24;23. Jahresausstellung (Künstlerhaus);1895;Abry, Léon;Antwerp
13;p_252;e_25;252;Abry, Léon;25;24. Jahresausstellung (Künstlerhaus);1896;Abry, Léon;Antwerp
14;p_252;e_27;252;Abry, Léon;27;Jubiläums-Kunstausstellung 1898 (Künstlerhaus);1898;Abry, Léon;Antwerp
15;p_253;e_25;253;Absolon, Marie;25;24. Jahresausstellung (Künstlerhaus);1896;Absolon, Marie;Vienna
16;p_254;e_2;254;Achenbach, Andreas;2;2. Große Internationale Kunstausstellung (Künstlerhaus);1870;Achenbach, Andreas;Düsseldorf
17;p_254;e_3;254;Achenbach, Andreas;3;3. Große Internationale Kunstausstellung (Künstlerhaus);1871;Achenbach, Andreas;Düsseldorf
18;p_254;e_4;254;Achenbach, Andreas;4;4. Große Jahresausstellung (Künstlerhaus);1872;Achenbach, Andreas;Düsseldorf
19;p_254;e_6;254;Achenbach, Andreas;6;6. Große Jahresausstellung (Künstlerhaus);1875;Achenbach, Andreas;Düsseldorf
20;p_254;e_7;254;Achenbach, Andreas;7;7. Große Jahresausstellung (Künstlerhaus);1876;Achenbach, Andreas;Düsseldorf
21;p_254;e_8;254;Achenbach, Andreas;8;8. Große Jahresausstellung (Künstlerhaus);1877;Achenbach, Andreas;Düsseldorf
22;p_254;e_9;254;Achenbach, Andreas;9;9. Große Jahresausstellung (Künstlerhaus);1878;Achenbach, Andreas;Düsseldorf
23;p_254;e_13;254;Achenbach, Andreas;13;13. Jahresausstellung (Künstlerhaus);1883;Achenbach, Andreas;Düsseldorf
24;p_254;e_14;254;Achenbach, Andreas;14;14. Jahresausstellung (Künstlerhaus);1884;Achenbach, Andreas;Düsseldorf
25;p_254;e_17;254;Achenbach, Andreas;17;17. Jahresausstellung (Künstlerhaus);1887;Achenbach, Andreas;Düsseldorf
26;p_254;e_18;254;Achenbach, Andreas;18;Jubiläums-Kunstausstellung 1888 (Künstlerhaus);1888;Achenbach, Andreas;no value
27;p_254;e_19;254;Achenbach, Andreas;19;18. Jahresausstellung (Künstlerhaus);1889;Achenbach, Andreas;Düsseldorf
28;p_254;e_21;254;Achenbach, Andreas;21;20. Jahresausstellung (Künstlerhaus);1891;Achenbach, Andreas;Düsseldorf
29;p_254;e_22;254;Achenbach, Andreas;22;21. Jahresausstellung (Künstlerhaus);1892;Achenbach, Andreas;Düsseldorf
30;p_254;e_23;254;Achenbach, Andreas;23;22. Jahresausstellung (Künstlerhaus);1893;Achenbach, Andreas;Düsseldorf
31;p_254;e_27;254;Achenbach, Andreas;27;Jubiläums-Kunstausstellung 1898 (Künstlerhaus);1898;Achenbach, Andreas;Düsseldorf
32;p_255;e_1;255;Achenbach, Oswald;1;1. Große Internationale Kunstausstellung (Künstlerhaus);1869;Achenbach, Oswald;Düsseldorf
33;p_255;e_2;255;Achenbach, Oswald;2;2. Große Internationale Kunstausstellung (Künstlerhaus);1870;Achenbach, Oswald;Düsseldorf
34;p_255;e_3;255;Achenbach, Oswald;3;3. Große Internationale Kunstausstellung (Künstlerhaus);1871;Achenbach, Oswald;Düsseldorf
35;p_255;e_4;255;Achenbach, Oswald;4;4. Große Jahresausstellung (Künstlerhaus);1872;Achenbach, Oswald;Düsseldorf
36;p_255;e_5;255;Achenbach, Oswald;5;5. Große Jahresausstellung (Künstlerhaus);1874;Achenbach, Oswald;Düsseldorf
37;p_255;e_11;255;Achenbach, Oswald;11;11. Jahresausstellung (Künstlerhaus);1880;Achenbach, Oswald;Düsseldorf
38;p_255;e_13;255;Achenbach, Oswald;13;13. Jahresausstellung (Künstlerhaus);1883;Achenbach, Oswald;Düsseldorf
39;p_255;e_14;255;Achenbach, Oswald;14;14. Jahresausstellung (Künstlerhaus);1884;Achenbach, Oswald;Düsseldorf
40;p_255;e_16;255;Achenbach, Oswald;16;16. Jahresausstellung (Künstlerhaus);1886;Achenbach, Oswald;Düsseldorf
41;p_255;e_17;255;Achenbach, Oswald;17;17. Jahresausstellung (Künstlerhaus);1887;Achenbach, Oswald;Düsseldorf
42;p_255;e_18;255;Achenbach, Oswald;18;Jubiläums-Kunstausstellung 1888 (Künstlerhaus);1888;Achenbach, Oswald;no value
43;p_255;e_19;255;Achenbach, Oswald;19;18. Jahresausstellung (Künstlerhaus);1889;Achenbach, Oswald;Düsseldorf
44;p_255;e_21;255;Achenbach, Oswald;21;20. Jahresausstellung (Künstlerhaus);1891;Achenbach, Oswald;Düsseldorf
45;p_255;e_22;255;Achenbach, Oswald;22;21. Jahresausstellung (Künstlerhaus);1892;Achenbach, Oswald;Düsseldorf
46;p_255;e_23;255;Achenbach, Oswald;23;22. Jahresausstellung (Künstlerhaus);1893;Achenbach, Oswald;Düsseldorf
47;p_255;e_24;255;Achenbach, Oswald;24;23. Jahresausstellung (Künstlerhaus);1895;Achenbach, Oswald;Düsseldorf
48;p_255;e_27;255;Achenbach, Oswald;27;Jubiläums-Kunstausstellung 1898 (Künstlerhaus);1898;Achenbach, Oswald;Düsseldorf
49;p_256;e_15;256;Achini, Angiolo;15;15. Jahresausstellung (Künstlerhaus);1885;Achini, A.;Rome
50;p_256;e_17;256;Achini, Angiolo;17;17. Jahresausstellung (Künstlerhaus);1887;Achini, A.;Milan
51;p_256;e_18;256;Achini, Angiolo;18;Jubiläums-Kunstausstellung 1888 (Künstlerhaus);1888;Achini, A.;Venice
52;p_257;e_9;257;Adam;9;9. Große Jahresausstellung (Künstlerhaus);1878;Adam;Munich
53;p_258;e_1;258;Adam, Benno;1;1. Große Internationale Kunstausstellung (Künstlerhaus);1869;Adam, Benno;Munich
54;p_258;e_2;258;Adam, Benno;2;2. Große Internationale Kunstausstellung (Künstlerhaus);1870;Adam, Benno;Munich
55;p_258;e_14;258;Adam, Benno;14;14. Jahresausstellung (Künstlerhaus);1884;Adam, Benno;Munich
56;p_259;e_7;259;Adam, Emil;7;7. Große Jahresausstellung (Künstlerhaus);1876;Adam, Emil;Munich
57;p_259;e_8;259;Adam, Emil;8;8. Große Jahresausstellung (Künstlerhaus);1877;Adam, Emil;Munich
58;p_260;e_2;260;Adam, Eugen;2;2. Große Internationale Kunstausstellung (Künstlerhaus);1870;Adam, Eugen;Munich
59;p_261;e_2;261;Adam, Franz;2;2. Große Internationale Kunstausstellung (Künstlerhaus);1870;Adam, Franz;Munich
60;p_261;e_3;261;Adam, Franz;3;3. Große Internationale Kunstausstellung (Künstlerhaus);1871;Adam, Franz;Munich
61;p_261;e_4;261;Adam, Franz;4;4. Große Jahresausstellung (Künstlerhaus);1872;Adam, Franz;Munich
62;p_261;e_14;261;Adam, Franz;14;14. Jahresausstellung (Künstlerhaus);1884;Adam, Franz;Munich
63;p_261;e_15;261;Adam, Franz;15;15. Jahresausstellung (Künstlerhaus);1885;Adam, Franz;Munich
64;p_262;e_7;262;Adam, Heinrich;7;7. Große Jahresausstellung (Künstlerhaus);1876;Adam, Heinrich;Vienna
65;p_262;e_17;262;Adam, Heinrich;17;17. Jahresausstellung (Künstlerhaus);1887;Adam, Heinrich;Vienna
66;p_263;e_14;263;Adam, Julius;14;14. Jahresausstellung (Künstlerhaus);1884;Adam, Julius;Munich
67;p_263;e_23;263;Adam, Julius;23;22. Jahresausstellung (Künstlerhaus);1893;Adam, Julius;Munich
68;p_264;e_15;264;Adamo, Max;15;15. Jahresausstellung (Künstlerhaus);1885;Adamo, Max;Munich
69;p_265;e_7;265;Aggházy, Julius;7;7. Große Jahresausstellung (Künstlerhaus);1876;Aggházy, Julius;Budapest
70;p_265;e_18;265;Aggházy, Julius;18;Jubiläums-Kunstausstellung 1888 (Künstlerhaus);1888;Aggházy, Julius;no value
71;p_266;e_1;266;Aigner, Josef Matthias;1;1. Große Internationale Kunstausstellung (Künstlerhaus);1869;Aigner, Josef Matthias;Vienna
72;p_266;e_2;266;Aigner, Josef Matthias;2;2. Große Internationale Kunstausstellung (Künstlerhaus);1870;Aigner, Josef Matthias;Vienna
73;p_266;e_3;266;Aigner, Josef Matthias;3;3. Große Internationale Kunstausstellung (Künstlerhaus);1871;Aigner, Josef Matthias;Vienna
74;p_266;e_4;266;Aigner, Josef Matthias;4;4. Große Jahresausstellung (Künstlerhaus);1872;Aigner, Josef Matthias;Vienna
75;p_266;e_6;266;Aigner, Josef Matthias;6;6. Große Jahresausstellung (Künstlerhaus);1875;Aigner, Josef Matthias;Vienna
76;p_266;e_18;266;Aigner, Josef Matthias;18;Jubiläums-Kunstausstellung 1888 (Künstlerhaus);1888;Aigner, Josef Matthias;no value
77;p_267;e_22;267;Ajdukiewicz, Sally;22;21. Jahresausstellung (Künstlerhaus);1892;Ajdukiewicz, Sally;Vienna
78;p_268;e_19;268;Ajdukiewicz, Siegmund;19;18. Jahresausstellung (Künstlerhaus);1889;Ajdukiewicz, Siegmund;Munich
79;p_268;e_20;268;Ajdukiewicz, Siegmund;20;19. Jahresausstellung (Künstlerhaus);1890;Ajdukiewicz, Siegmund;Munich
80;p_268;e_21;268;Ajdukiewicz, Siegmund;21;20. Jahresausstellung (Künstlerhaus);1891;Ajdukiewicz, Siegmund;Vienna
81;p_268;e_22;268;Ajdukiewicz, Siegmund;22;21. Jahresausstellung (Künstlerhaus);1892;Ajdukiewicz, Siegmund;Vienna
82;p_268;e_23;268;Ajdukiewicz, Siegmund;23;22. Jahresausstellung (Künstlerhaus);1893;Ajdukiewicz, Siegmund;Vienna
83;p_268;e_24;268;Ajdukiewicz, Siegmund;24;23. Jahresausstellung (Künstlerhaus);1895;Ajdukiewicz, Siegmund;Vienna
84;p_268;e_25;268;Ajdukiewicz, Siegmund;25;24. Jahresausstellung (Künstlerhaus);1896;Ajdukiewicz, Siegmund;Vienna
85;p_268;e_26;268;Ajdukiewicz, Siegmund;26;25. Jahresausstellung (Künstlerhaus);1897;Ajdukiewicz, Siegmund;Vienna
86;p_268;e_27;268;Ajdukiewicz, Siegmund;27;Jubiläums-Kunstausstellung 1898 (Künstlerhaus);1898;Ajdukiewicz, Siegmund;Vienna
87;p_269;e_14;269;Ajdukiewicz, Thaddäus von;14;14. Jahresausstellung (Künstlerhaus);1884;Ajdukiewicz, Thaddäus von;Kraków
88;p_269;e_16;269;Ajdukiewicz, Thaddäus von;16;16. Jahresausstellung (Künstlerhaus);1886;Ajdukiewicz, Thaddäus von;Vienna
89;p_269;e_17;269;Ajdukiewicz, Thaddäus von;17;17. Jahresausstellung (Künstlerhaus);1887;Ajdukiewicz, Thaddäus von;Vienna
90;p_269;e_18;269;Ajdukiewicz, Thaddäus von;18;Jubiläums-Kunstausstellung 1888 (Künstlerhaus);1888;Ajdukiewicz, Thaddäus von;no value
91;p_269;e_19;269;Ajdukiewicz, Thaddäus von;19;18. Jahresausstellung (Künstlerhaus);1889;Ajdukiewicz, Thaddäus von;Vienna
92;p_269;e_21;269;Ajdukiewicz, Thaddäus von;21;20. Jahresausstellung (Künstlerhaus);1891;Ajdukiewicz, Thaddäus von;Vienna
93;p_269;e_22;269;Ajdukiewicz, Thaddäus von;22;21. Jahresausstellung (Künstlerhaus);1892;Ajdukiewicz, Thaddäus von;Vienna
94;p_269;e_23;269;Ajdukiewicz, Thaddäus von;23;22. Jahresausstellung (Künstlerhaus);1893;Ajdukiewicz, Thaddäus von;Vienna
95;p_270;e_18;270;Alberti, Achille;18;Jubiläums-Kunstausstellung 1888 (Künstlerhaus);1888;Alberti, Achille;no value
96;p_270;e_25;270;Alberti, Achille;25;24. Jahresausstellung (Künstlerhaus);1896;Alberti, Achille;Milan
97;p_270;e_27;270;Alberti, Achille;27;Jubiläums-Kunstausstellung 1898 (Künstlerhaus);1898;Alberti, Achille;Milan
98;p_271;e_22;271;Albrecht, Carl;22;21. Jahresausstellung (Künstlerhaus);1892;Albrecht, Carl;Hamburg
99;p_271;e_27;271;Albrecht, Carl;27;Jubiläums-Kunstausstellung 1898 (Künstlerhaus);1898;Albrecht, Carl;Hamburg
100;p_271;e_28;271;Albrecht, Carl;28;26. Jahresausstellung (Künstlerhaus);1899;Albrecht, Carl;Hamburg
101;p_272;e_16;272;Alby, J.;16;16. Jahresausstellung (Künstlerhaus);1886;Alby, J.;Turin
102;p_273;e_18;273;Alexandra, Prinzessin von Wales;18;Jubiläums-Kunstausstellung 1888 (Künstlerhaus);1888;Alexandra, Prinzessin von Wales;no value
103;p_274;e_18;274;Allingham, Helen;18;Jubiläums-Kunstausstellung 1888 (Künstlerhaus);1888;Allingham, Helen;no value
104;p_275;e_27;275;Alma, Tadema Laura T.;27;Jubiläums-Kunstausstellung 1898 (Künstlerhaus);1898;Alma, Tadema Laura T.;London
105;p_276;e_13;276;Alphons, Theodor;13;13. Jahresausstellung (Künstlerhaus);1883;Alphons, Theodor;Vienna
106;p_276;e_15;276;Alphons, Theodor;15;15. Jahresausstellung (Künstlerhaus);1885;Alphons, Theodor;Vienna
107;p_276;e_18;276;Alphons, Theodor;18;Jubiläums-Kunstausstellung 1888 (Künstlerhaus);1888;Alphons, Theodor;no value
108;p_276;e_20;276;Alphons, Theodor;20;19. Jahresausstellung (Künstlerhaus);1890;Alphons, Theodor;Vienna
109;p_276;e_21;276;Alphons, Theodor;21;20. Jahresausstellung (Künstlerhaus);1891;Alphons, Theodor;Vienna
110;p_276;e_22;276;Alphons, Theodor;22;21. Jahresausstellung (Künstlerhaus);1892;Alphons, Theodor;Vienna
111;p_276;e_23;276;Alphons, Theodor;23;22. Jahresausstellung (Künstlerhaus);1893;Alphons, Theodor;Vienna
112;p_276;e_25;276;Alphons, Theodor;25;24. Jahresausstellung (Künstlerhaus);1896;Alphons, Theodor;Graz
113;p_276;e_26;276;Alphons, Theodor;26;25. Jahresausstellung (Künstlerhaus);1897;Alphons, Theodor;Graz
114;p_277;e_3;277;Alt, Franz;3;3. Große Internationale Kunstausstellung (Künstlerhaus);1871;Alt, Franz;Vienna
115;p_277;e_4;277;Alt, Franz;4;4. Große Jahresausstellung (Künstlerhaus);1872;Alt, Franz;Vienna
116;p_277;e_5;277;Alt, Franz;5;5. Große Jahresausstellung (Künstlerhaus);1874;Alt, Franz;Vienna
117;p_277;e_6;277;Alt, Franz;6;6. Große Jahresausstellung (Künstlerhaus);1875;Alt, Franz;Vienna
118;p_277;e_13;277;Alt, Franz;13;13. Jahresausstellung (Künstlerhaus);1883;Alt, Franz;Vienna
119;p_277;e_14;277;Alt, Franz;14;14. Jahresausstellung (Künstlerhaus);1884;Alt, Franz;Vienna
120;p_277;e_15;277;Alt, Franz;15;15. Jahresausstellung (Künstlerhaus);1885;Alt, Franz;Vienna
121;p_277;e_16;277;Alt, Franz;16;16. Jahresausstellung (Künstlerhaus);1886;Alt, Franz;Vienna
122;p_277;e_17;277;Alt, Franz;17;17. Jahresausstellung (Künstlerhaus);1887;Alt, Franz;Vienna
123;p_277;e_18;277;Alt, Franz;18;Jubiläums-Kunstausstellung 1888 (Künstlerhaus);1888;Alt, Franz;no value
124;p_277;e_19;277;Alt, Franz;19;18. Jahresausstellung (Künstlerhaus);1889;Alt, Franz;Vienna
125;p_277;e_21;277;Alt, Franz;21;20. Jahresausstellung (Künstlerhaus);1891;Alt, Franz;Vienna
126;p_277;e_22;277;Alt, Franz;22;21. Jahresausstellung (Künstlerhaus);1892;Alt, Franz;Vienna
127;p_277;e_24;277;Alt, Franz;24;23. Jahresausstellung (Künstlerhaus);1895;Alt, Franz;Vienna
128;p_277;e_25;277;Alt, Franz;25;24. Jahresausstellung (Künstlerhaus);1896;Alt, Franz;Vienna
129;p_278;e_4;278;Alt, Rudolf Ritter von;4;4. Große Jahresausstellung (Künstlerhaus);1872;Alt, Rudolf Ritter von;Vienna
130;p_278;e_5;278;Alt, Rudolf Ritter von;5;5. Große Jahresausstellung (Künstlerhaus);1874;Alt, Rudolf Ritter von;Vienna
131;p_278;e_6;278;Alt, Rudolf Ritter von;6;6. Große Jahresausstellung (Künstlerhaus);1875;Alt, Rudolf Ritter von;Vienna
132;p_278;e_7;278;Alt, Rudolf Ritter von;7;7. Große Jahresausstellung (Künstlerhaus);1876;Alt, Rudolf Ritter von;Vienna
133;p_278;e_8;278;Alt, Rudolf Ritter von;8;8. Große Jahresausstellung (Künstlerhaus);1877;Alt, Rudolf Ritter von;Vienna
134;p_278;e_9;278;Alt, Rudolf Ritter von;9;9. Große Jahresausstellung (Künstlerhaus);1878;Alt, Rudolf Ritter von;Vienna
135;p_278;e_10;278;Alt, Rudolf Ritter von;10;10. Große Jahresausstellung (Künstlerhaus);1879;Alt, Rudolf Ritter von;Vienna
136;p_278;e_11;278;Alt, Rudolf Ritter von;11;11. Jahresausstellung (Künstlerhaus);1880;Alt, Rudolf Ritter von;Vienna
137;p_278;e_12;278;Alt, Rudolf Ritter von;12;12. Jahresausstellung (Künstlerhaus);1881;Alt, Rudolf Ritter von;Vienna
